INST_TEMP_ID,temp_id,WESTERN_NAME,CHINESE_NAME_HANZI,Shortened Chinese Name,Chinese_name_rom,Parent Org ID,Parent Org Name,CHINESE_ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,GENDER_SERVED,AFFILIATION,CHRISTIAN TRADITION,Religious Family,RECORDED PLACE,GEOCODE,NOTES,SOURCE
TEMP_ID,,,NAME,Name,Name in pinyin ,,,ALT NAME (TYPE),Category,Subcategory,M | F | X,Corporate Entity,Protestant,,Recorded,Code,NOTE,CY_YYYY_PAGE
中華基督教青年會全國協會出版組辦公室,TN_0001,Publishing Office of National Committee of Young Women's Christian Associations of China ,中華基督教青年會全國協會出版組辦公室,,zhōnghuá jīdūjiào qīngnián huì quánguó xiéhuì chūbǎn zǔbàn gōngshì,C_000289,YMCA,Publishing Office of National Committee of YMCAs of China ,Ecclesial,,M ,中華基督教男青年會 - YMCA - Young Men’s Christian Association of China,Protestant,Interdenominational,,Y_1512,,
中華基督教女青年會全國協會總部,TN_0002,Headquarter of National Committee of Young Women's Christian Associations of China ,中華基督教女青年會全國協會總部,,zhōnghuá jīdūjiào nǚ qīngnián huì quánguó xiéhuì zǒngbù,C_000290,YWCA,Headquarter of National Committee of YWCAs of China ,Ecclesial,,F,中華基督教女青年會 - YWCA - Young Women’s Christian Association of China,Protestant,Interdenominational,,Y_1512,,
北京燕京大學宗教學院,TN_0003,"School of Religion, Yenching University",北京燕京大學宗教學院,,běijīng yānjīng dàxué zōngjiào xuéyuàn,N_05731,Yenching University ,"School of Religion, Yenching University, Peking ",Education,Higher Education,X,,Protestant,,,Y_2505,,
中華基督教青年會全國協會事工組辦公室,TN_0004,Ministry Office of National Committe of Young Men's Christian Associations of China ,中華基督教青年會全國協會事工組辦公室,,zhōnghuá jīdūjiào qīngnián huì quánguó xiéhuì shìgōng zǔbàn gōngshì,C_000289,YMCA,Ministry Office of National Committe of YMCAs of China ,Ecclesial,,M,中華基督教男青年會 - YMCA - Young Men’s Christian Association of China,Protestant,Interdenominational,,Y_1512,,
上海中華基督教青年會全國協會總部,TN_0005,Headquarter of National Committe of Young Women's Christian Associations of China (Shanghai) ,上海中華基督教青年會全國協會總部,,shànghǎi zhōnghuá jīdūjiào qīngnián huì quánguó xiéhuì zǒngbù,C_000289,YMCA,Headquarter of National Committe of YWCAs of China (Shanghai) ,Ecclesial,,M,中華基督教男青年會 - YMCA - Young Men’s Christian Association of China,Protestant,Interdenominational,,Y_1512,,
上海中華基督教會全國總會總部,TN_0006,Headquarter of National Council of Church of Christ in China (Shanghai),上海中華基督教會全國總會總部,,shànghǎi zhōnghuá jīdūjiào huì quánguó zǒnghuì zǒngbù,C_000934,Church of Christ in China,,Ecclesial,,M,中华基督教会全国总会 - CCC - Church of Christ in China.,Protestant,,,Y_1512,,
上海中華全國基督教協進會總部,TN_0007,Headquarter of Shanghai National Christian Council of China,上海中華全國基督教協進會總部,,shànghǎi zhōnghuá quánguó jīdūjiào xiéjìnhuì zǒngbù,C_000894,National Christian Council of China,,Ecclesial,,X,中华全国基督教协进会 - NCC - National Christian Council of China,Protestant,,,Y_1503,,
南京中華基督會總部,TN_0008,Headquarter of the Disciples of Christ in China (Nanjing),南京中華基督會總部,,nánjīng zhōnghuá jīdū huì zǒngbù,C_000372,Disciples of Christ,,Ecclesial,,X,基督會 - UCMS - Disciples of Christ,Protestant,Restorationist,,Y_753,,
上海基督教公誼會總部,TN_0009,"Headquarter of Christian Friends Foreign Mission Association (FFMA), Shanghai",上海基督教公誼會總部,,shànghǎi jīdūjiào gōngyìhuì zǒngbù,"C_000120",Friends Foreign Mission Association (FFMA),"Headquarter of Christian FFMA, Shanghai",Ecclesial,,X,公誼會 - FMWC - Friends Mission (West China),Protestant,Quaker,,Y_1512,,
