ID1,Name1,Link 1,ID2,Name 2,Link 2,Checked,Duplicates
N_20073,Fu Jen Boys Middle School,https://data.chcdatabase.com/search?nodeSelect=N_20073,N_20075,Fu Jen Girls Middle School,https://data.chcdatabase.com/search?nodeSelect=N_20075,True,False
N_20075,Fu Jen Girls Middle School,https://data.chcdatabase.com/search?nodeSelect=N_20075,N_05668,Xun Girls Middle School,https://data.chcdatabase.com/search?nodeSelect=N_05668,True,False
N_00019,American School of Kikungshan,https://data.chcdatabase.com/search?nodeSelect=N_00019,N_00023,American School of Tenghsien,https://data.chcdatabase.com/search?nodeSelect=N_00023,True,False
N_00019,American School of Kikungshan,https://data.chcdatabase.com/search?nodeSelect=N_00019,N_04641,Swedish School of Kikungshan,https://data.chcdatabase.com/search?nodeSelect=N_04641,True,False
N_00141,Bowen Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00141,N_00143,Boxue Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00143,True,False
N_00141,Bowen Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00141,N_00920,Cuiwen Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00920,True,False
N_00945,Deji Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00945,N_03139,Meili Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03139,True,False
N_00945,Deji Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00945,N_05673,Yali Middle School,https://data.chcdatabase.com/search?nodeSelect=N_05673,True,False
N_01043,Fenchow-foo Boys' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01043,N_01044,Fenchow-foo Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01044,True,False
N_01044,Fenchow-foo Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01044,N_01049,Feng-chen Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01049,True,False
N_01048,Feng-chen Boys' Day School,https://data.chcdatabase.com/search?nodeSelect=N_01048,N_03735,Ping-yang Boys' Day School,https://data.chcdatabase.com/search?nodeSelect=N_03735,True,False
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,True,False
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,True,False
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,True,False
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,True,False
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,True,False
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,True,False
